commodity_id,food_group,item_code,item_code_kind,item,n_parts,mass_fraction_sum,mass_balance_error,mass_balance_status,accounted_mass_fraction_sum,non_fao_mass_fraction_sum,unknown_fao_accounting_mass_fraction_sum,avoidable_mass_fraction,potentially_avoidable_mass_fraction,unavoidable_mass_fraction,source_sheets
fowcus_legumes-pulses_1702_broad-beans-and-horse-beans-dry_ed443c91,legumes_pulses,1702,commodity_code,"Broad beans and horse beans, dry",2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_legumes-pulses_1703_chick-peas-dry_b111ef49,legumes_pulses,1703,commodity_code,"Chick peas, dry",2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_legumes-pulses_1706_cow-peas-dry_7dfc81f7,legumes_pulses,1706,commodity_code,"Cow peas, dry",2,1.0,0.0,pass,0.802,0.19799999999999995,0.0,0.802,0.0,0.19799999999999995,legumes_pulses
fowcus_legumes-pulses_1704_lentils-dry_7e398d73,legumes_pulses,1704,commodity_code,"Lentils, dry",2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_legumes-pulses_1709-02_lupins_6213c080,legumes_pulses,1709.02,commodity_code,Lupins,2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_legumes-pulses_1709-9_other-pulses-n-e-c_d24c1820,legumes_pulses,1709.9,commodity_code,Other pulses n.e.c.,2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_legumes-pulses_1707_pigeon-peas-dry_83011738,legumes_pulses,1707,commodity_code,"Pigeon peas, dry",2,1.0,0.0,pass,0.52,0.48,0.0,0.52,0.48,0.0,legumes_pulses
fowcus_legumes-pulses_1709-01_vetches_f0aece1d,legumes_pulses,1709.01,commodity_code,Vetches,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,legumes_pulses
fowcus_livestock_2132_asses_078bdf85,livestock,2132,commodity_code,Asses,11,1.0003202713355122,0.0003202713355121567,review,1.0003202713355122,0.0,0.0,0.2827313769751693,0.0,0.7175888943603429,livestock
fowcus_livestock_2112_buffalo_e039ac0f,livestock,2112,commodity_code,Buffalo,11,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.2802975,0.026699999999999998,0.6930025,livestock
fowcus_livestock_2121-01_camels_7eed1371,livestock,2121.01,commodity_code,Camels,10,0.990420618556701,-0.009579381443298951,review,0.990420618556701,0.0,0.0,0.343,0.0354,0.6120206185567011,livestock
fowcus_livestock_2111_cattle_29a0f09f,livestock,2111,commodity_code,Cattle,15,0.99966,-0.00034000000000000696,review,0.99966,0.0,0.0,0.44,0.026,0.53366,livestock
fowcus_livestock_2151_chickens_dc62dc86,livestock,2151,commodity_code,Chickens,11,1.0,0.0,pass,1.0,0.0,0.0,0.5181578176,0.02,0.46184218239999997,livestock
fowcus_livestock_2154_ducks_d34fe01e,livestock,2154,commodity_code,Ducks,9,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.3699999999999999,0.07,0.56,livestock
fowcus_livestock_2153_geese_36df119c,livestock,2153,commodity_code,Geese,9,1.0,0.0,pass,1.0,0.0,0.0,0.45058728000000003,0.08,0.46941272,livestock
fowcus_livestock_2123_goats_7ca4dd3d,livestock,2123,commodity_code,Goats,10,1.00032,0.000320000000000098,review,1.00032,0.0,0.0,0.455,0.028999999999999998,0.51632,livestock
fowcus_livestock_2131_horses_07eb5e12,livestock,2131,commodity_code,Horses,8,0.9997319727453197,-0.0002680272546803364,review,0.9997319727453197,0.0,0.0,0.47,0.051604661066160816,0.4781273116791589,livestock
fowcus_livestock_2133_mules-and-hinnies_46d6efc7,livestock,2133,commodity_code,Mules and hinnies,11,1.0003202713355122,0.0003202713355121567,review,1.0003202713355122,0.0,0.0,0.2827313769751693,0.064,0.653588894360343,livestock
fowcus_livestock_2121-02_other-camelids_4beaf07c,livestock,2121.02,commodity_code,Other camelids,14,1.0,0.0,pass,1.0,0.0,0.0,0.4614035087719298,0.02850877192982456,0.5100877192982457,livestock
fowcus_livestock_2192-01_other-rodents_cb5aa258,livestock,2192.01,commodity_code,Other rodents,12,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.33595718499130806,0.04971971013926597,0.6143231048694259,livestock
fowcus_livestock_2194_pigeons-and-other-birds_62cd5160,livestock,2194,commodity_code,Pigeons and other birds,11,1.0,0.0,pass,1.0,0.0,0.0,0.25880000000000003,0.0691,0.6721,livestock
fowcus_livestock_2140_pigs-swines_4884655e,livestock,2140,commodity_code,Pigs/Swines,17,1.0,0.0,pass,1.0,0.0,0.0,0.4891,0.0166,0.4943,livestock
fowcus_livestock_2191_rabbits-and-hares_c44ef05e,livestock,2191,commodity_code,Rabbits and hares,9,1.0,0.0,pass,1.0,0.0,0.0,0.4614597156398106,0.04560663507109004,0.49293364928909944,livestock
fowcus_livestock_2122_sheeps_d6451fff,livestock,2122,commodity_code,Sheeps,25,2.002,1.0019999999999998,review,2.002,0.0,0.0,0.844,0.191,0.967,livestock
fowcus_livestock_2152_turkeys_f1f4ce00,livestock,2152,commodity_code,Turkeys,9,1.0,0.0,pass,1.0,0.0,0.0,0.4544,0.06,0.4856,livestock
fowcus_nuts_1371_almonds-in-shell_e67c9c2f,nuts,1371,commodity_code,"Almonds, in shell",4,1.0,0.0,pass,0.48,0.52,0.0,0.15,0.0,0.8500000000000001,nuts
fowcus_nuts_1379-01_areca-nuts_12e35b96,nuts,1379.01,commodity_code,Areca nuts,2,1.0,0.0,pass,0.2645,0.7355,0.0,0.2645,0.0,0.7355,nuts
fowcus_nuts_1377_brazil-nuts-in-shell_da665feb,nuts,1377,commodity_code,"Brazil nuts, in shell",3,1.0,0.0,pass,0.1087,0.8913,0.0,0.0545674,0.0,0.9454326,nuts
fowcus_nuts_1372_cashew-nuts-in-shell_5700c4f5,nuts,1372,commodity_code,"Cashew nuts, in shell",4,1.0,0.0,pass,0.1,0.9,0.0,1.0,0.0,0.0,nuts
fowcus_nuts_1373_chestnuts-in-shell_d80010c3,nuts,1373,commodity_code,"Chestnuts, in shell",3,0.99708,-0.0029200000000000337,review,0.7970799999999999,0.2,0.0,0.61308,0.0,0.384,nuts
fowcus_nuts_1460_coconuts-in-shell_d8d4702c,nuts,1460,commodity_code,"Coconuts, in shell",3,1.0,0.0,pass,0.5225,0.4775,0.0,0.3738,0.0,0.6262,nuts
fowcus_nuts_1374_hazelnuts-in-shell_2c2827a5,nuts,1374,commodity_code,"Hazelnuts, in shell",3,1.0000000000000002,2.220446049250313e-16,pass,0.6948677232984495,0.3051322767015507,0.0,0.31683729323090987,0.0,0.6831627067690903,nuts
fowcus_nuts_1499-01_karite-nuts-sheanuts_449bb657,nuts,1499.01,commodity_code,Karite nuts (sheanuts),3,1.0,0.0,pass,0.3861305234118339,0.6138694765881662,0.0,0.8256075136626082,0.0,0.17439248633739188,nuts
fowcus_nuts_1379-02_kola-nuts_feea39e6,nuts,1379.02,commodity_code,Kola nuts,3,1.0,0.0,pass,0.557,0.443,0.0,0.41400000000000003,0.0,0.586,nuts
fowcus_nuts_1379-9-macadamia_macadamia-in-shell_ecaf03c1,nuts,1379.9 - macadamia,commodity_code,"Macadamia, in shell",3,0.997634615384615,-0.0023653846153850466,review,0.0,0.997634615384615,0.0,0.20350000000000001,0.0,0.7941346153846149,nuts
